Timestamp (UTC)	Timestamp (ms)	HR	RR	Body temperature	Battery
2016-11-09 19:29:44.973	1478719784973	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:45.312	1478719785312	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:46.598	1478719786598	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:48.02	1478719788020	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:49.25	1478719789250	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:49.746	1478719789746	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:50.575	1478719790575	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:51.605	1478719791605	-1.0	-1.0	-1.0	-1.0
2016-11-09 19:29:52.617	1478719792617	-1.0	574.0	-1.0	-1.0
2016-11-09 19:29:53.614	1478719793614	-1.0	600.0	-1.0	-1.0
2016-11-09 19:29:54.606	1478719794606	102.0	606.0	-1.0	84.0
2016-11-09 19:29:55.589	1478719795589	102.0	602.0	-1.0	84.0
2016-11-09 19:29:56.578	1478719796578	100.0	626.0	-1.0	84.0
2016-11-09 19:29:57.57	1478719797570	100.0	636.0	-1.0	84.0
2016-11-09 19:29:58.585	1478719798585	97.0	618.0	-1.0	84.0
2016-11-09 19:29:59.596	1478719799596	97.0	606.0	-1.0	84.0
2016-11-09 19:30:00.582	1478719800582	97.0	608.0	-1.0	84.0
2016-11-09 19:30:01.576	1478719801576	97.0	598.0	-1.0	84.0
2016-11-09 19:30:02.592	1478719802592	99.0	584.0	-1.0	84.0
2016-11-09 19:30:03.606	1478719803606	99.0	594.0	-1.0	84.0
2016-11-09 19:30:04.588	1478719804588	101.0	616.0	-1.0	84.0
2016-11-09 19:30:05.702	1478719805702	101.0	614.0	-1.0	84.0
2016-11-09 19:30:06.619	1478719806619	98.0	620.0	-1.0	84.0
2016-11-09 19:30:07.6	1478719807600	98.0	624.0	-1.0	84.0
2016-11-09 19:30:09.055	1478719809055	96.0	618.0	-1.0	84.0
2016-11-09 19:30:10.008	1478719810008	96.0	596.0	-1.0	84.0
2016-11-09 19:30:11.222	1478719811222	97.0	614.0	-1.0	84.0
2016-11-09 19:30:11.97	1478719811970	97.0	610.0	-1.0	84.0
2016-11-09 19:30:13.182	1478719813182	99.0	612.0	-1.0	84.0
2016-11-09 19:30:13.998	1478719813998	99.0	616.0	-1.0	84.0
2016-11-09 19:30:14.979	1478719814979	97.0	664.0	-1.0	84.0
2016-11-09 19:30:15.619	1478719815619	97.0	646.0	-1.0	84.0
2016-11-09 19:30:16.623	1478719816623	92.0	644.0	-1.0	84.0
2016-11-09 19:30:18.145	1478719818145	92.0	664.0	-1.0	84.0
2016-11-09 19:30:19.229	1478719819229	91.0	664.0	-1.0	84.0
